"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Arhgef40"	8.28867448994866e-09	1.04680809513051	0.045	0.022	0.000104304679781514
"Mcrip2"	8.30567315146173e-09	0.882685191060971	0.058	0.032	0.000104518590937994
"Zbtb38"	8.37295609388304e-09	0.772046040641977	0.077	0.046	0.000105365279485424
"Zfp704"	8.40456682449827e-09	2.69466621546273	0.012	0.002	0.000105763068919486
"Akr1c13"	8.43927676679681e-09	0.749099428059009	0.074	0.044	0.000106199858833371
"Dusp22"	8.44579681809184e-09	-0.461931900034659	0.128	0.174	0.000106281907158868
"Adcy4"	8.69804636027753e-09	-1.77976982778953	0.005	0.017	0.000109456215397732
"Eif3a"	8.7967857895257e-09	0.276456730380557	0.426	0.375	0.000110698752375391
"Mlx"	8.86089938730242e-09	-0.364473999088253	0.182	0.235	0.000111505557889814
"Ccnd2"	8.93002228309576e-09	-0.393184082494889	0.113	0.155	0.000112375400410477
"Atf1"	8.96962481282114e-09	0.306769104980893	0.271	0.24	0.000112873758644541
"Yae1d1"	8.98126389371682e-09	0.618919677401826	0.1	0.065	0.000113020224838532
"Nol7"	9.04333560232387e-09	0.265339756238157	0.417	0.359	0.000113801335219644
"Trmt1"	9.05159967690014e-09	0.490837797749061	0.156	0.112	0.000113905330334111
"Matr3"	9.05334876625772e-09	0.509731301775993	0.15	0.109	0.000113927340874587
"Chid1"	9.10398835298846e-09	-0.452997174507426	0.119	0.154	0.000114564589434007
"Kcnj10"	9.38065870916331e-09	1.49523721971034	0.026	0.009	0.000118046209196111
"Gspt1"	9.40174817968169e-09	0.428600481698083	0.191	0.148	0.000118311599093114
"Serpinb6b"	9.54017953338801e-09	1.56050757697672	0.03	0.012	0.000120053619248155
"Mybbp1a"	9.60204659176777e-09	0.484493624014564	0.162	0.118	0.000120832154310806
"Bcl2a1d"	9.77968729228609e-09	0.261692888537817	0.411	0.351	0.000123067584886128
"Actr10"	9.88140731021242e-09	-0.281074156985896	0.286	0.346	0.000124347629591713
"Mnat1"	9.89056381808801e-09	0.560743330721977	0.125	0.086	0.00012446285508682
"Slc1a2"	9.93315335138673e-09	-2.20861312659341	0.003	0.015	0.000124998801773851
"Slc39a10"	1.00439420373422e-08	0.758682708333887	0.077	0.047	0.000126392966597915
"Pim3"	1.01157299810151e-08	-0.349254003473996	0.217	0.272	0.000127296346081094
"Flcn"	1.01799805718101e-08	0.445916419271956	0.163	0.131	0.000128104875515658
"Gtf3a"	1.02170462677819e-08	0.455180475905808	0.174	0.128	0.000128571310233768
"Hint2"	1.02344817909344e-08	0.35522792886779	0.252	0.205	0.000128790718857119
"P2ry2"	1.06182556213168e-08	0.620155101980048	0.108	0.072	0.000133620128738651
"Pdlim4"	1.06733801556728e-08	-0.327800021296208	0.249	0.305	0.000134313815878987
"Nim1k"	1.08331441059045e-08	-1.07449820109162	0.016	0.035	0.000136324285428702
"D5Ertd605e"	1.08437715666604e-08	1.78777561985421	0.02	0.006	0.000136458021394854
"Iars"	1.12485675763144e-08	0.730045502879201	0.08	0.049	0.00014155197438034
"Ebp"	1.12762649860679e-08	-0.311353603478239	0.26	0.316	0.000141900518584679
"Gclc"	1.14351903562979e-08	0.707110079794754	0.086	0.053	0.000143900435443653
"Ogfrl1"	1.14525372428448e-08	-0.328313410001615	0.244	0.3	0.000144118728663959
"Adrb2"	1.14705456235612e-08	-0.335893790627227	0.25	0.307	0.000144345346126894
"Susd6"	1.15104496389879e-08	-0.451120236172576	0.133	0.179	0.000144847498257024
"Grwd1"	1.15612298669589e-08	0.851860732432907	0.061	0.034	0.000145486516645811
"Cald1"	1.1631104198876e-08	1.34637174348938	0.048	0.027	0.000146365815238655
"Agbl3"	1.20106327882981e-08	1.32120781993529	0.03	0.012	0.000151141803007944
"Rbck1"	1.21309850039416e-08	-0.309825767717645	0.272	0.327	0.000152656315289601
"Lrg1"	1.22393040591396e-08	-1.45448314350268	0.006	0.02	0.000154019402280213
"Dtnb"	1.24576322522744e-08	1.28291390011325	0.032	0.013	0.000156766844262621
"Ncln"	1.2485850377929e-08	-0.320857494581779	0.228	0.284	0.000157121941155858
"Gm49041"	1.28328650970967e-08	-0.79372529223932	0.031	0.056	0.000161488774381865
"Mrtfb"	1.28436699558605e-08	0.674690648697494	0.093	0.059	0.000161624742724548
"Gatd3a"	1.28475687960493e-08	0.454175290860928	0.154	0.119	0.000161673805729484
"Tmem51os1"	1.31036220072144e-08	-1.99882074203659	0.004	0.016	0.000164895979338785
"Adam33"	1.3352035164961e-08	1.91488753775755	0.018	0.005	0.000168022010515869
"Slc46a1"	1.34077389616593e-08	0.950003384309725	0.049	0.025	0.00016872298709352
"4931406P16Rik"	1.35672577536872e-08	0.725933811917976	0.08	0.05	0.0001707303715724
"Rfx2"	1.35824654941954e-08	-1.89311130086548	0.005	0.018	0.000170921745778956
"Trpc4ap"	1.36708789598796e-08	-0.27801597251224	0.248	0.305	0.000172034340831125
"Slc2a6"	1.36789032141386e-08	-0.504522057663167	0.127	0.169	0.000172135318046721
"Ptges3l"	1.36918062602411e-08	0.882685191060971	0.058	0.032	0.000172297689978874
"Mtm1"	1.39142384005697e-08	-0.491312825075833	0.093	0.133	0.000175096776032769
"Lrpprc"	1.41077492213181e-08	0.71564369597744	0.082	0.051	0.000177531916201066
"Pno1"	1.46026440201411e-08	0.401842164044823	0.203	0.161	0.000183759672349456
"Cnksr3"	1.5026804392115e-08	1.75486099738148	0.021	0.006	0.000189097306470375
"Gins2"	1.50502242234318e-08	0.795433706469294	0.067	0.041	0.000189392021627665
"Plpp3"	1.51760607524136e-08	0.829811861661911	0.076	0.046	0.000190975548508373
"Mthfd1"	1.52052971514071e-08	1.00182416140569	0.047	0.024	0.000191343459353307
"Bub1"	1.52338556566288e-08	2.64313591482265	0.012	0.002	0.000191702839583016
"Rnf14"	1.56526776050706e-08	-0.37366483529195	0.145	0.192	0.000196973294982209
"Pik3cb"	1.57081048777364e-08	0.617179043720872	0.103	0.071	0.000197670791781435
"Commd2"	1.62911892822368e-08	-0.255184888755605	0.228	0.28	0.000205008325927668
"Spata13"	1.64971274065661e-08	-0.532829398076041	0.096	0.133	0.000207599851284227
"Myo7a"	1.65099982439637e-08	0.752547131543231	0.073	0.045	0.00020776181790204
"Adap2"	1.65636985009548e-08	-0.447955885618209	0.138	0.181	0.000208437581936015
"A930015D03Rik"	1.66268814517094e-08	-0.574648725398255	0.079	0.117	0.000209232676188311
"Odc1"	1.671238333255e-08	0.397308992763394	0.225	0.176	0.000210308631856809
"Gm14410"	1.67301249230739e-08	1.44673870201915	0.026	0.01	0.000210531892031962
"Sowahc"	1.73079482156612e-08	0.516718231572072	0.135	0.107	0.000217803220345881
"Phip"	1.73345747002842e-08	-0.420279814298537	0.127	0.172	0.000218138288028376
"Lpar1"	1.74766278072734e-08	-0.747231773389818	0.049	0.078	0.000219925884326729
"Rab8b"	1.76860354522571e-08	0.294417519047752	0.302	0.275	0.000222561070131204
"Cystm1"	1.81213621213768e-08	0.513409741664434	0.083	0.053	0.000228039220935406
"Raf1"	1.83244466611296e-08	-0.30893308667676	0.232	0.288	0.000230594836783654
"Ncstn"	1.93068801906362e-08	-0.277440737191217	0.281	0.34	0.000242957780318966
"Traf3"	1.93950687247579e-08	0.525115211440761	0.117	0.091	0.000244067544832353
"Rnaset2a"	1.97126356059143e-08	-0.258632187748227	0.348	0.408	0.000248063806464825
"Zfp608"	1.97729739913655e-08	-0.536408228512767	0.082	0.12	0.000248823104707343
"Lgals7"	1.97757128547192e-08	1.67262010943547	0.031	0.013	0.000248857570563787
"Panx1"	1.98464302364177e-08	-0.709712065006476	0.052	0.082	0.00024974747809508
"Supt5"	2.0432049910769e-08	-0.282156018366569	0.229	0.283	0.000257116916077117
"Plod2"	2.10333087584723e-08	3.29918151360529	0.01	0.001	0.000264683157416616
"Trabd"	2.13888216121969e-08	-0.325616977721534	0.23	0.284	0.000269156931167885
"Smap2"	2.16542801798122e-08	-0.343730503988559	0.194	0.246	0.000272497461782756
"Ppfibp1"	2.16727131701689e-08	0.72357890737797	0.078	0.047	0.000272729422533406
"Blmh"	2.17195358107828e-08	-0.400959849650884	0.162	0.21	0.00027331863864289
"Phf11d"	2.17828781667849e-08	-0.342423103272488	0.138	0.182	0.000274115738850821
"Usp4"	2.18565260343038e-08	-0.310160819515819	0.199	0.251	0.000275042523615679
"Agap3"	2.19954467615967e-08	0.641994993418079	0.096	0.063	0.000276790702047933
"Srd5a3"	2.28911505770847e-08	-0.350749190579121	0.203	0.255	0.000288062238862034
"Gimap9"	2.31520637985798e-08	-1.74394485958996	0.005	0.016	0.000291345570841329
"Hsd17b10"	2.32352289287902e-08	0.34700446057295	0.271	0.221	0.000292392120839896
"Gm20559"	2.38836251814135e-08	-0.875189392868216	0.018	0.037	0.000300551539282907
"Raet1e"	2.44698975208959e-08	-0.452973241079959	0.135	0.179	0.000307929190402954
"Orai2"	2.47726444978382e-08	-0.555133712313625	0.081	0.114	0.000311738958360796
"0610040J01Rik"	2.48620589395324e-08	-1.7571336313465	0.006	0.019	0.000312864149695076
"Fundc2"	2.53812458890536e-08	0.260353795382337	0.391	0.347	0.000319397598267851
"Sbf2"	2.5436310547951e-08	0.545669345139348	0.12	0.086	0.000320090531935415
"Olfr56"	2.56132301323853e-08	-0.92321090773116	0.026	0.05	0.000322316887985937
"Camk2n1"	2.61699306551517e-08	1.90806985357192	0.018	0.005	0.000329322407364429
"Pag1"	2.62609233161602e-08	-0.478008558170417	0.108	0.15	0.00033046745901056
"Glipr1"	2.67149511129518e-08	0.341293026863434	0.289	0.246	0.000336180944805386
"Ngly1"	2.68290503079518e-08	-0.610394529169985	0.069	0.102	0.000337616769075265
"Sumf1"	2.69441117001489e-08	-0.342632518956096	0.213	0.265	0.000339064701634673
"Gna15"	2.70161728125857e-08	0.451774291916444	0.169	0.128	0.000339971518673579
"Slfn9"	2.7157475319261e-08	-0.716397133760527	0.04	0.068	0.00034174966941758
"Ngdn"	2.73152891154e-08	-0.304032691672091	0.213	0.266	0.000343735598228194
