"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Atp5j"	2.44132688140275e-87	0.3663833041265	0.936	0.827	3.07216574755722e-83
"Sdhb"	2.86987956615059e-87	0.388086419692659	0.798	0.612	3.6114564460439e-83
"Il1a"	3.60505546605451e-87	-0.519050072143665	0.052	0.207	4.536601798483e-83
"Bnip3l"	5.81984388676035e-87	-0.432954477858755	0.574	0.74	7.32369154709922e-83
"Unc93b1"	8.63663050816981e-87	0.394609830347893	0.943	0.832	1.08683358314809e-82
"H2-D1"	1.28181570765892e-86	-0.366319169906975	1	1	1.61303688651799e-82
"Jpt1"	2.41373946796104e-86	0.37838962257962	0.833	0.647	3.03744974648218e-82
"Lasp1"	8.39092034945889e-86	-0.44712255699279	0.434	0.583	1.05591341677591e-81
"Fosb"	1.81195151001791e-85	0.501567141378863	0.476	0.259	2.28015978020654e-81
"Rsad2"	2.30390192392044e-85	-0.986383748087534	0.084	0.254	2.89923018106148e-81
"Fkbp5"	2.45424366371126e-85	0.294700582992734	0.282	0.093	3.08842022641425e-81
"Car13"	3.80529579386468e-85	-0.313338536915429	0.109	0.28	4.78858422699932e-81
"Mt1"	1.4974211696491e-84	-1.09655301450016	0.864	0.94	1.88435479988642e-80
"Rpl36a"	1.84127250042019e-84	0.381806280226136	0.987	0.925	2.31705731452877e-80
"Cst3"	1.90415148310891e-84	0.482046530433535	1	0.99	2.39618422634426e-80
"Ccl5"	3.8389327841873e-84	-1.75213914179351	0.11	0.29	4.83091301562129e-80
"Myl6"	4.54076045388723e-84	0.368625187474028	0.992	0.967	5.71409295517169e-80
"Serf2"	5.81291174920491e-84	0.321837692970802	1	0.996	7.31496814519946e-80
"Adcy7"	8.01110272639437e-84	0.252642821090986	0.237	0.065	1.00811716708947e-79
"H2-T22"	1.14248512232142e-83	-0.48288302986611	0.699	0.839	1.43770327792928e-79
"Romo1"	2.46134405737711e-83	0.377803144902844	0.724	0.521	3.09735536180335e-79
"Dock8"	2.82301370405833e-83	0.314627360993735	0.342	0.138	3.552480445187e-79
"Tpd52"	2.91261786877969e-83	-0.387142325014266	0.837	0.919	3.66523832607237e-79
"Ier2"	1.04673277918154e-82	0.551860325495278	0.822	0.639	1.31720852932205e-78
"Ccl7"	1.18600483860465e-82	1.1864063839566	0.535	0.31	1.49246848890009e-78
"Sept9"	1.68255985379308e-82	0.347194556661772	0.445	0.223	2.11733332001321e-78
"Dab2"	3.00555063932111e-82	0.469130685522448	0.837	0.686	3.78218492452168e-78
"Eif5a"	1.03764826338301e-81	0.381912286479546	0.981	0.936	1.30577657464118e-77
"Eif5"	3.30471661501795e-81	-0.42471301644535	0.54	0.689	4.15865538833859e-77
"Trem2"	3.91561970149759e-81	0.393526921396207	0.918	0.787	4.92741583236457e-77
